iter	Passed	Remaining
0	0	404
1	1	441
2	2	426
3	3	404
4	3	386
5	4	373
6	5	363
7	5	363
8	6	358
9	7	354
10	9	418
11	11	452
12	13	494
13	16	559
14	18	586
15	19	596
16	20	593
17	21	586
18	23	589
19	24	583
20	25	579
21	27	590
22	28	584
23	29	577
24	30	576
25	31	573
26	32	563
27	33	569
28	34	565
29	35	556
30	36	553
31	37	545
32	38	544
33	39	538
34	40	536
35	41	534
36	42	528
37	43	526
38	44	523
39	45	522
40	46	518
41	47	515
42	48	513
43	49	515
44	50	511
45	51	507
46	52	509
47	53	507
48	54	506
49	56	504
50	57	502
51	57	498
52	58	493
53	59	489
54	59	484
55	60	480
56	61	477
57	62	474
58	62	469
59	63	465
60	64	464
61	65	460
62	65	456
63	66	452
64	67	448
65	68	449
66	69	448
67	70	447
68	71	444
69	71	442
70	72	439
71	73	436
72	74	433
73	74	430
74	75	427
75	76	424
76	76	421
77	77	418
78	78	416
79	78	413
80	79	411
81	80	408
82	80	406
83	81	403
84	82	404
85	83	402
86	84	399
87	84	397
88	85	394
89	86	392
90	86	390
91	87	387
92	88	385
93	89	384
94	89	382
95	90	380
96	91	378
97	91	376
98	92	374
99	93	372
100	93	370
101	94	370
102	95	368
103	96	366
104	96	364
105	97	363
106	98	363
107	99	362
108	100	362
109	101	361
110	103	361
111	103	359
112	105	360
113	106	360
114	107	360
115	108	360
116	109	358
117	110	357
118	111	356
119	112	356
120	114	357
121	115	357
122	116	358
123	118	358
124	118	356
125	119	355
126	120	353
127	121	352
128	122	352
129	123	350
130	124	350
131	125	350
132	126	349
133	127	348
134	128	348
135	129	347
136	130	346
137	131	345
138	132	345
139	134	345
140	135	344
141	136	343
142	137	342
143	138	342
144	139	341
145	140	341
146	142	341
147	143	340
148	144	340
149	145	340
150	146	339
151	147	338
152	148	337
153	149	336
154	150	335
155	151	333
156	152	333
157	153	333
158	155	332
159	156	332
160	157	331
161	158	330
162	160	331
163	161	331
164	162	330
165	163	329
166	164	328
167	165	326
168	166	326
169	167	325
170	168	324
171	169	323
172	170	323
173	171	321
174	172	320
175	173	319
176	174	318
177	175	317
178	176	316
179	177	316
180	178	314
181	179	314
182	180	312
183	181	311
184	182	311
185	184	310
186	185	309
187	185	308
188	187	307
189	188	307
190	190	307
191	191	306
192	191	305
193	193	304
194	194	303
195	195	302
196	196	301
197	196	299
198	197	299
199	198	298
200	199	297
201	200	296
202	201	295
203	202	294
204	203	293
205	204	292
206	205	291
207	206	290
208	208	289
209	209	289
210	210	287
211	211	287
212	212	285
213	213	284
214	213	283
215	214	282
216	216	282
217	218	282
218	219	281
219	219	279
220	220	278
221	221	277
222	221	275
223	222	274
224	223	272
225	223	271
226	224	270
227	225	268
228	226	267
229	226	266
230	227	265
231	228	264
232	229	262
233	230	262
234	231	261
235	232	259
236	233	258
237	233	257
238	234	256
239	235	254
240	235	253
241	236	252
242	237	250
243	237	249
244	238	248
245	239	246
246	239	245
247	240	244
248	241	243
249	242	242
250	243	241
251	244	240
252	245	239
253	246	238
254	247	237
255	248	236
256	249	235
257	250	234
258	251	233
259	252	232
260	253	231
261	255	232
262	257	232
263	258	231
264	259	230
265	260	229
266	261	227
267	261	226
268	262	225
269	263	224
270	264	223
271	264	222
272	265	220
273	266	219
274	267	218
275	267	217
276	268	216
277	269	214
278	269	213
279	270	212
280	271	211
281	272	210
282	272	209
283	273	207
284	274	207
285	275	205
286	275	204
287	276	203
288	277	202
289	278	201
290	279	200
291	279	199
292	280	198
293	281	196
294	281	195
295	282	194
296	283	193
297	283	192
298	284	191
299	285	190
300	285	189
301	287	188
302	288	187
303	289	186
304	290	186
305	292	185
306	293	184
307	295	184
308	296	183
309	298	182
310	300	182
311	301	181
312	303	181
313	304	180
314	306	180
315	308	179
316	310	179
317	311	178
318	314	178
319	314	177
320	316	176
321	317	175
322	318	174
323	319	173
324	320	172
325	321	171
326	322	170
327	323	169
328	325	168
329	325	167
330	326	166
331	327	165
332	328	164
333	328	163
334	329	162
335	330	161
336	331	160
337	331	159
338	332	158
339	333	156
340	334	155
341	334	154
342	335	153
343	336	152
344	337	151
345	338	150
346	339	149
347	340	148
348	341	147
349	341	146
350	342	145
351	343	144
352	346	144
353	347	143
354	354	144
355	357	144
356	358	143
357	362	143
358	364	143
359	367	142
360	370	142
361	373	142
362	374	141
363	374	140
364	377	139
365	378	138
366	380	137
367	382	137
368	385	136
369	386	135
370	387	134
371	388	133
372	389	132
373	390	131
374	392	130
375	392	129
376	394	128
377	395	127
378	396	126
379	397	125
380	398	124
381	399	123
382	400	122
383	401	121
384	402	120
385	403	119
386	405	118
387	406	117
388	407	116
389	408	115
390	409	114
391	412	113
392	413	112
393	413	111
394	414	110
395	415	109
396	416	107
397	416	106
398	417	105
399	418	104
400	419	103
401	419	102
402	420	101
403	421	100
404	421	98
405	422	97
406	423	96
407	424	95
408	424	94
409	426	93
410	427	92
411	429	91
412	430	90
413	431	89
414	432	88
415	433	87
416	434	86
417	435	85
418	436	84
419	437	83
420	438	82
421	439	81
422	440	80
423	441	79
424	442	78
425	443	77
426	444	75
427	445	74
428	446	73
429	447	72
430	448	71
431	448	70
432	449	69
433	450	68
434	452	67
435	453	66
436	453	65
437	455	64
438	456	63
439	457	62
440	458	61
441	459	60
442	460	59
443	461	58
444	462	57
445	463	56
446	464	55
447	465	54
448	466	52
449	467	51
450	468	50
451	469	49
452	469	48
453	471	47
454	472	46
455	473	45
456	474	44
457	475	43
458	477	42
459	478	41
460	479	40
461	480	39
462	481	38
463	482	37
464	483	36
465	483	35
466	484	34
467	485	33
468	486	32
469	487	31
470	488	30
471	489	29
472	493	28
473	495	27
474	496	26
475	497	25
476	498	24
477	499	22
478	500	21
479	501	20
480	502	19
481	503	18
482	504	17
483	506	16
484	507	15
485	508	14
486	509	13
487	510	12
488	511	11
489	512	10
490	513	9
491	514	8
492	516	7
493	519	6
494	519	5
495	521	4
496	522	3
497	523	2
498	524	1
499	525	0
